Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"76 Aluminum And Articles Thereof","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","687881721","696710192","664233291","728857337","737678642","126418760","","","","","","","21184"
"75 Nickel And Articles Thereof","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2022","41538321","41305217","17824228","42128465","41883414","531796","","","","","","","711"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","69559587","69559587","52307211","70820338","70820338","12360314","","","","","","","3454"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","369983837","369983837","343552625","381149188","381149188","51115551","","","","","","","1337"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","7537505","7541255","2682263","7628542","7633692","220105","","","","","","","82"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","250577","250577","47954","264104","264104","1944","","","","","","","19"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","239992","239992","239992","243123","243123","8878","","","","","","","16"
"3910 Silicones, In Primary Forms","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2024","838","838","838","864","864","25","","","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","12042209","12141796","9885927","12323852","12417591","960191","","","","","","","345"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","3831592","4227165","3443443","3940360","4331475","368934","","","","","","","268"
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","7999","7999","7999","8005","8005","240","","","","","","","5"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","10512","10512","10512","11563","11563","389","","","","","","","1"
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","197685","197685","17411","227018","227018","1741","","","","","","","6"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2024","350000","350000","0","350500","350500","0","","","","","","","1"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2021","233856","233856","0","243856","243856","0","","","","","","","1"
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","63637","63637","63637","68669","68669","1910","","","","","","","7"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","148571413","148571413","144515162","155893370","155893370","21445529","","","","","","","932"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","57996601","58203034","6921012","60114644","60287078","1196389","","","","","","","1082"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","31368505","31368505","0","31453876","31453876","0","","","","","","","18"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","314816","314816","191441","318768","318768","41861","","","","","","","5"
"2820 Manganese Oxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","642122","642122","43840","763697","763697","4384","","","","","","","9"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","27234139","27234139","25033375","30798602","30798602","1270675","","","","","","","281"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","117937707","114253979","0","124250211","120333934","0","","","","","","","273"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","5102171","5102171","5102171","5110362","5110362","705865","","","","","","","48"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","6859578","6859578","6859578","7746099","7746099","322395","","","","","","","122"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2024","53980","53980","53980","55580","55580","4970","","","","","","","3"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","6140364","6140364","6140364","7156793","7156793","288584","","","","","","","101"
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","62938","62938","52114","67840","67840","1564","","","","","","","10"
"2603 Copper Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","10080","10080","10080","10082","10082","0","","","","","","","2"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","944744","944744","944744","1037289","1037289","44396","","","","","","","23"
"2603 Copper Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","11250","11250","11250","13070","13070","0","","","","","","","3"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","308822017","308822017","0","308854204","308854204","0","","","","","","","57"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","18500900","18500900","0","18500944","18500944","0","","","","","","","6"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","60391074","60391074","9088258","61733751","61733751","2082855","","","","","","","1080"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","2476836","2308187","2308187","2544849","2398757","323147","","","","","","","32"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","3617372","3617372","3576272","3623375","3623375","497279","","","","","","","64"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","236726","236726","7115","239227","239227","284","","","","","","","9"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","53507215","44982328","3298970","58850267","49855019","824750","","","","","","","348"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","4132","4132","4132","4133","4133","566","","","","","","","1"
"2603 Copper Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","9690","9690","9690","9692","9692","0","","","","","","","2"
"3910 Silicones, In Primary Forms","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","516183","516183","516183","525662","525662","15487","","","","","","","30"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","6976636","7302416","6021700","7120896","7449362","522774","","","","","","","302"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3114165","3114165","3114165","3115375","3115375","435984","","","","","","","11"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","252093","252093","21206","254845","254845","784","","","","","","","5"
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2023","196134","196134","196134","208309","208309","5881","","","","","","","15"
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2021","2517","2517","2517","2554","2554","76","","","","","","","6"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","52062783","50961558","451972","52508084","51402612","16771","","","","","","","172"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","429933","429933","156735","454174","454174","6514","","","","","","","40"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","1170206","1170206","55541","1193022","1193022","1749","","","","","","","10"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2023","204150","204150","0","204419","204419","0","","","","","","","5"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","82653178","82675879","534945","83435893","83458382","19939","","","","","","","192"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","5164927","5164927","273514","5190467","5190467","10120","","","","","","","40"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","3936631","3936631","3936631","4135981","4135981","551126","","","","","","","15"
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","22883051","22850411","9965940","23693028","23659964","298975","","","","","","","559"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","10822520","10822520","297257","11106193","11106193","28942","","","","","","","129"
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","14092","14092","14092","14996","14996","422","","","","","","","9"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","269629361","269629361","249907649","294538690","294538690","36772044","","","","","","","1532"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","9551533","9551533","1057374","9717805","9717805","32912","","","","","","","45"
"3910 Silicones, In Primary Forms","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","1980575","1980575","1538389","2074254","2074254","46154","","","","","","","29"
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","1188720","1188720","0","1227985","1227985","0","","","","","","","18"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","2019204","2019204","1110929","2046627","2046627","42581","","","","","","","58"
"2504 Natural Graphite","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","4443587","4443587","0","4561587","4561587","0","","","","","","","23"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","10496396","10496396","804893","10983903","10983903","24500","","","","","","","44"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","66420","66420","66420","67081","67081","3653","","","","","","","4"
"2820 Manganese Oxides","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","70000","70000","70000","74500","74500","3290","","","","","","","1"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","164506456","159121783","0","172586858","166755825","0","","","","","","","302"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","20005540","19969771","458630","21216059","21178932","21297","","","","","","","217"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","48811","39375","13784","49850","40291","1232","","","","","","","11"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2024","1950503","1950503","0","1989143","1989143","0","","","","","","","6"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","913950","913950","221429","922934","922934","8229","","","","","","","40"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","44129","44129","0","61363","61363","0","","","","","","","11"
"2603 Copper Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","208998","208998","208998","238999","238999","0","","","","","","","4"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","2364083","2364083","894747","2405056","2405056","33247","","","","","","","44"
"2504 Natural Graphite","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","72590","72590","0","95551","95551","0","","","","","","","10"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","376547439","376547439","344595762","390931907","390931907","51125882","","","","","","","1380"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","306462618","306462618","0","306562561","306562561","0","","","","","","","296"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","3825","3825","0","4656","4656","0","","","","","","","1"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","1337588","1337588","1337588","1465015","1465015","0","","","","","","","10"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","714249","659114","0","861282","805147","0","","","","","","","40"
"2504 Natural Graphite","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","7225570","7225570","1068508","7423020","7423020","106850","","","","","","","59"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","2497911","2181851","1109334","2529502","2213442","41142","","","","","","","72"
"2820 Manganese Oxides","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","91380","91380","91380","106580","106580","4294","","","","","","","4"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","228499677","228499677","0","228615243","228615243","0","","","","","","","98"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","108203","108203","108203","114220","114220","14447","","","","","","","18"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","122350","122350","8950","123183","123183","358","","","","","","","4"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","30091","30091","11260","32394","32394","492","","","","","","","6"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1999604","1999604","1302399","2108602","2108602","0","","","","","","","13"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","40373","40373","40373","41000","41000","1494","","","","","","","2"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2023","2500","2500","0","2508","2508","0","","","","","","","1"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","494807","494807","227234","497242","497242","9112","","","","","","","7"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","170973","170973","118305","176793","176793","4293","","","","","","","8"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","11234222","11234222","2520667","11435906","11435906","86734","","","","","","","192"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","514482","514482","0","518224","518224","0","","","","","","","3"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2024","1037500","1037500","0","1055328","1055328","0","","","","","","","1"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","829207","829207","0","844843","844843","0","","","","","","","17"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3305497","3305497","721797","3330639","3330639","27146","","","","","","","18"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","1626908","1604892","207510","1646609","1637054","7681","","","","","","","56"
"2603 Copper Ores And Concentrates","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","4724","4724","4724","5011","5011","0","","","","","","","1"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","5167903","5167903","0","5201101","5201101","0","","","","","","","81"
"3910 Silicones, In Primary Forms","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","30453659","31104869","31054337","35898318","36549530","931641","","","","","","","620"
"2614 Titanium Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","297318","297318","0","312184","312184","0","","","","","","","5"
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","1524070","1524070","0","1611293","1611293","0","","","","","","","22"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","438836","438836","0","444658","444658","0","","","","","","","15"
"2504 Natural Graphite","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","408034","408034","0","414266","414266","0","","","","","","","5"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","14333548","14333548","0","14536851","14536851","0","","","","","","","45"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","9760666","9760666","0","9875469","9875469","0","","","","","","","33"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","18708924","18692919","803351","19471559","19457188","37091","","","","","","","184"
"2614 Titanium Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","177990","177990","0","186890","186890","0","","","","","","","3"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","104342370","104342370","0","104362578","104362578","0","","","","","","","45"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","11520778","11520778","156362","11764049","11764049","4894","","","","","","","52"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","27600621","27600621","0","27852047","27852047","0","","","","","","","43"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","8080","8080","8080","8580","8580","323","","","","","","","2"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2021","8671246","8671246","0","8781586","8781586","0","","","","","","","33"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2023","380728","380728","151182","385170","385170","5753","","","","","","","11"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","74309","74309","74309","77708","77708","4033","","","","","","","4"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","124723","124723","73178","125682","125682","2954","","","","","","","4"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","4434833","4434833","2866904","4608436","4608436","108683","","","","","","","38"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2025196","2025196","1157494","2042565","2042565","28125","","","","","","","16"
"2603 Copper Ores And Concentrates","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","49343","49343","49343","53343","53343","0","","","","","","","1"
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","21926","21926","6360","24132","24132","636","","","","","","","5"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Burma","All Country Subcodes","All Rate Provisions","All Districts","2022","1092331","1092331","0","1128718","1128718","0","","","","","","","3"
"3910 Silicones, In Primary Forms","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","790056","790056","790056","943484","943484","23706","","","","","","","50"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","43657255","43657255","201486","44390715","44390715","9821","","","","","","","413"
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","13334170","13378033","2058096","14901068","14945502","61741","","","","","","","448"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2023","435077","435077","0","442233","442233","0","","","","","","","3"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","582887234","582887234","0","582945876","582945876","0","","","","","","","60"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1694568","1725894","1037074","1715395","1760338","76322","","","","","","","45"
"2603 Copper Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","10170","10170","10170","10172","10172","0","","","","","","","2"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2023","1579057","135870","135870","1644386","158219","0","","","","","","","15"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2023","6195","6195","6195","6645","6645","248","","","","","","","1"
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2022","2358","2358","2358","2418","2418","71","","","","","","","5"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","6644885","6644885","4286634","6897975","6897975","169486","","","","","","","45"
"2801 Fluorine, Chlorine, Bromine & Iodine","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","41032","41032","41032","42032","42032","2256","","","","","","","2"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2023","13194","13194","6267","13958","13958","232","","","","","","","4"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","1450440","1450440","0","1482307","1482307","0","","","","","","","20"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","1439343","1439343","0","1447092","1447092","0","","","","","","","9"
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","2094768","2094768","0","2198465","2198465","0","","","","","","","31"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","574380","574380","574380","640530","640530","30866","","","","","","","14"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","58361","58361","0","58655","58655","0","","","","","","","2"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","18961329","18964709","1416429","19302154","19305634","47083","","","","","","","144"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","5011","5011","5011","5435","5435","185","","","","","","","1"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","5810","5810","5810","7310","7310","0","","","","","","","2"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3094247","3224461","3037328","3218221","3347549","349188","","","","","","","131"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","46736","46736","46736","47611","47611","1729","","","","","","","2"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","946816","946816","623842","968180","968180","36533","","","","","","","38"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","2663317","3858777","2330115","2714687","3914247","74150","","","","","","","103"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","512759","512759","48852","565059","565059","2393","","","","","","","16"
"2801 Fluorine, Chlorine, Bromine & Iodine","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","26431972","26431972","600212","26649974","26649974","22208","","","","","","","42"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","34847113","34785617","8114325","36007170","35945724","387460","","","","","","","297"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","1634068","1593302","200462","1653061","1624846","7413","","","","","","","58"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","1692567","1595577","192387","1714061","1629604","7118","","","","","","","58"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","27208166","27208166","5016004","28173319","28173319","187074","","","","","","","296"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2746","2746","2746","3632","3632","687","","","","","","","1"
"2820 Manganese Oxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","134880","134880","134880","141299","141299","6339","","","","","","","7"
"2614 Titanium Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","5036","5036","0","5111","5111","0","","","","","","","1"
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","654","654","654","1901","1901","151","","","","","","","2"
